1;1;2;795,000;570,000;5,733,300;246,000;27,333,301;29,566,699;38,000,000;-1;120,000;3,650,000;190,000;0;120,000;0
4;1;2;798,000;880,000;5,933,300;739,200;28,666,699;3,333,300;13,800,000;710,000;120,000;0;0;0;2,320,000;4,640,000
1;1;2;800,000;720,000;8,000,000;195,700;17,428,600;4,785,700;11,371,400;450,000;700,000;2,300,000;650,000;140,000;2,120,000;0
2;1;3;835,000;840,000;6,800,000;302,600;45,800,000;4,520,000;11,180,000;320,000;140,000;3,820,000;240,000;0;480,000;100,000
2;1;2;810,000;1,320,000;1,900,000;0;13,000,000;600,000;4,000,000;200,000;390,000;5,540,000;840,000;0;0;0
1;1;2;837,000;1,210,000;1,285,000;0.84;1,500,000;500,000;10,507,001;380,000;2,840,000;240,000;0;0;0;0
2;1;3;731,000;990,000;600,000;139,500;5,875,000;600,000;1,600,000;0.8;1,140,000;170,000;610,000;0;220,000;0
3;1;3;791,000;1,120,000;500,000;138,300;600,000;2,433,300;3,000,000;3,200,000;2,970,000;200,000;200,000;0;270,000;370,000
1;1;3;799,000;1,070,000;400,000;136,800;11,700,000;1,725,000;4,475,000;0.8;7,430,000;170,000;140,000;0;100,000;0
3;1;3;782,000;1,150,000;818,000;148,800;3,900,000;1,600,000;13,950,000;0.4;0;0;190,000;270,000;190,000;170,000
1;1;2;790,000;600,000;6,300,000;105,300;-1;-1;169,000,000;45,000;0;0;0;1,960,000;0;0
3;1;2;802,000;940,000;1,874,000;159,800;624,960,010;45,579,999;69,059,998;200,000;0;0;0;300,000;470,000;250,000
1;1;3;660,000;1,080,000;400,000;118,000;8,000,000;200,000;5,900,000;0.6;6,250,000;0;0;140,000;0;0
3;1;3;679,000;940,000;1,142,000;196,600;4,200,000;300,000;1,500,000;0.6;2,160,000;0;0;650,000;100,000;0
1;1;3;678,000;1,020,000;1,070,400;146,000;4,600,000;300,000;1,371,400;0.7;4,190,000;0;0;0;0;0
1;1;3;780,000;1,080,000;1,456,800;122,800;6,125,000;3,450,000;6,200,000;110,000;3,540,000;0;0;0;190,000;0
2;1;3;830,000;1,270,000;2,700,000;404,000;1,000,000;36,300,000;48,200,000;600,000;0;270,000;610,000;0;340,000;2,280,000
2;1;2;797,000;250,000;3,212,500;103,400;791,250,000;13,262,500;16,462,000;100,000;1,010,000;2,200,000;590,000;220,000;0;0
3;1;3;820,000;1,130,000;600,000;156,000;1,000,000;200,000;500,000;-1;8,300,000;0;0;0;0;0
1;1;3;820,000;1,040,000;357,700;0.788;1,058,300;166,700;208,800;0.8;3,060,000;0;0;0;0;0
3;1;2;810,000;640,000;2,120,000;322,200;4,400,000;5,480,000;15,500,000;6,152,000;1,940,000;1,470,000;170,000;140,000;210,000;0
1;1;2;854,000;1,283,000;2,254,500;400,000;17,050,000;6,800,000;11,606,900;4,160,000;1,920,000;500,000;0;0;240,000;240,000
3;1;2;850,000;780,000;7,100,000;1,102,000;50,000,000;12,100,000;-1;710,000;570,000;0;0;440,000;1,240,000;830,000
2;1;2;770,000;680,000;6,500,000;183,300;78,250,000;7,725,000;34,000,000;900,000;0;510,000;320,000;810,000;0;100,000
3;1;3;840,000;1,050,000;5,060,000;1,049,400;33,400,000;20,910,001;27,666,699;2,072,000;230,000;300,000;0;0;460,000;4,570,000
1;1;3;850,000;1,150,000;5,729,200;1,052,600;31,260,001;26,139,999;29,939,999;2,350,000;0;150,000;0;0;980,000;4,230,000
1;1;3;810,000;1,220,000;6,600,000;408,000;1,000,000;2,600,000;7,000,000;180,000;3,180,000;0;0;0;2,460,000;1,030,000
3;1;1;613,000;1,123,000;887,000;0.62;3,600,000;300,000;1,474,100;210,000;1,190,000;0;0;0;0;0
4;1;2;-1;1,210,000;1,800,000;314,000;1,000,000;2,100,000;4,100,000;480,000;2,040,000;0;0;100,000;2,110,000;1,450,000
1;1;2;720,000;1,040,000;1,800,000;242,000;8,000,000;1,100,000;4,400,000;250,000;720,000;110,000;0;0;150,000;370,000
2;1;2;790,000;860,000;2,765,000;206,300;6,250,000;775,000;3,000,000;-1;5,780,000;0;1,250,000;120,000;480,000;0
3;1;2;780,000;910,000;3,612,400;597,400;16,900,000;1,309,100;7,105,700;330,000;400,000;0;0;260,000;210,000;300,000
1;1;3;780,000;940,000;571,400;0.807;2,214,300;600,000;1,871,400;150,000;4,280,000;0;0;0;0;0
3;1;3;780,000;1,135,000;534,300;136,300;1,975,000;581,800;884,600;190,000;6,620,000;0;0;100,000;0;0
3;1;3;590,000;1,190,000;-1;188,000;500,000;100,000;200,000;-1;7,520,000;0;0;0;0;0
4;1;3;680,000;910,000;-1;0.78;1,000,000;100,000;1,400,000;-1;2,810,000;0;0;190,000;0;0
1;1;2;660,000;880,000;-1;0.95;2,000,000;100,000;700,000;-1;7,480,000;0;0;120,000;0;0
4;1;3;660,000;1,180,000;-1;221,000;1,000,000;100,000;400,000;-1;7,910,000;0;0;0;0;0
4;1;2;690,000;920,000;-1;221,000;1,000,000;200,000;1,300,000;-1;2,510,000;0;0;290,000;220,000;340,000
4;1;3;766,000;1,080,000;400,000;0.997;1,500,000;150,000;733,300;100,000;1,790,000;0;0;170,000;170,000;0
3;1;3;760,000;1,050,000;305,000;100,200;1,333,300;166,700;1,083,300;-1;4,150,000;0;0;0;0;0
3;1;2;780,000;690,000;3,137,500;0.933;213,857,007;15,242,900;31,750,000;1,540,000;3,060,000;410,000;160,000;390,000;0;0
4;2;2;800,000;700,000;3,709,100;223,700;14,636,400;8,409,100;17,277,800;230,000;760,000;1,940,000;1,550,000;320,000;290,000;0
2;2;2;820,000;780,000;3,762,500;145,300;10,571,400;6,671,400;14,339,999;260,000;0;510,000;920,000;750,000;1,050,000;0
3;2;2;820,000;1,070,000;13,466,701;450,400;61,777,802;4,944,400;16,477,800;1,920,000;280,000;2,340,000;170,000;0;1,510,000;1,090,000
1;2;2;800,000;850,000;13,146,899;345,400;79,200,000;6,310,000;28,660,001;820,000;210,000;400,000;330,000;0;800,000;2,930,000
3;2;3;890,000;1,050,000;3,480,000;600,000;12,255,600;4,111,100;14,411,099;2,703,000;320,000;100,000;0;0;510,000;1,780,000
1;2;3;820,000;920,000;3,003,700;518,400;17,480,000;8,660,000;13,080,000;345,000;240,000;1,230,000;0;0;120,000;220,000
1;2;2;780,000;880,000;2,907,800;282,300;26,355,600;2,700,000;9,512,000;1,150,000;3,520,000;690,000;120,000;290,000;1,360,000;100,000
1;2;3;750,000;1,080,000;1,035,700;335,000;12,766,700;2,200,000;3,432,100;120,000;780,000;0;0;190,000;470,000;0
2;2;3;740,000;900,000;1,375,000;526,800;5,875,000;5,625,000;6,400,000;250,000;290,000;0;460,000;170,000;1,060,000;2,760,000
2;2;2;750,000;890,000;5,580,000;440,800;38,900,000;12,740,000;20,620,000;500,000;0;0;0;190,000;1,780,000;5,080,000
2;2;2;780,000;1,040,000;4,900,000;755,700;643,333,008;17,066,701;34,100,000;230,000;0;0;0;870,000;610,000;0
3;2;2;910,000;800,000;10,120,000;430,600;27,375,000;15,287,500;29,031,299;1,070,000;0;100,000;0;0;1,930,000;6,110,000
